Title,Worldwide_gross,Movie Run Time,Budget,IMDB_Rating
Iron Man 2,623933331,124,200000000,7
Guardians of the Galaxy,774176600,121,170000000,8.1
Black Panther,1347071259,134,200000000,7.3
Iron Man 3,1215439994,130,200000000,7.2
The Incredible Hulk,263427551,112,150000000,6.7
Captain Marvel,1126318317,123,152000000,7.1
Iron Man,585174222,126,140000000,7.9
Thor,449326618,115,150000000,7
Captain America: Civil War,1153304495,147,250000000,7.8
Spider-Man: Far from Home,1131927996,129,160000000,7.6
Avengers: Infinity War,2048709917,149,321000000,8.5
Spider-Man: Homecoming,880166924,133,175000000,7.5
Captain America: The First Avenger,370569774,124,140000000,6.9
Avengers: Endgame,2681988528,181,356000000,8.8
Ant-Man and the Wasp,622674139,118,162000000,7.1
Ant-Man,519445163,117,130000000,7.3
Thor: The Dark World,644783140,112,170000000,6.9
Captain America: The Winter Soldier,714766572,136,170000000,7.8
Avengers: Age of Ultron,1405413868,141,250000000,7.3
Guardians of the Galaxy Vol. 2,863756051,136,200000000,7.7
Thor: Ragnarok,853977126,130,180000000,7.9
Doctor Strange,677718395,115,165000000,7.5
The Avengers,1519557910,143,220000000,8.1
